"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","323.10","320.10","325.50","320.10","120.08K","0.19%"
"12/29/2024","322.50","322.50","324.00","319.00","165.47K","0.00%"
"12/26/2024","322.50","323.90","323.90","321.50","52.46K","0.00%"
"12/24/2024","322.50","324.20","324.20","322.10","63.71K","-0.31%"
"12/23/2024","323.50","325.60","326.00","323.00","66.63K","-0.52%"
"12/22/2024","325.20","325.80","326.30","324.00","188.73K","-0.06%"
"12/19/2024","325.40","324.50","326.00","319.40","317.23K","0.37%"
"12/18/2024","324.20","320.00","326.20","318.80","362.95K","1.31%"
"12/17/2024","320.00","315.00","320.60","314.70","124.86K","1.81%"
"12/15/2024","314.30","315.10","315.70","313.10","184.14K","-0.10%"
"12/12/2024","314.60","312.50","315.50","312.50","38.70K","0.35%"
"12/11/2024","313.50","318.00","318.00","313.00","101.84K","-0.89%"
"12/10/2024","316.30","319.90","320.50","315.70","108.16K","-0.50%"
"12/09/2024","317.90","318.20","321.30","317.10","76.57K","-0.09%"
"12/08/2024","318.20","319.60","319.60","316.00","102.04K","0.19%"
"12/05/2024","317.60","320.20","320.50","317.10","109.12K","-0.90%"
"12/04/2024","320.50","324.50","326.40","319.00","220.52K","-1.02%"
"12/03/2024","323.80","319.20","325.10","318.10","360.26K","1.44%"
"12/02/2024","319.20","318.90","320.00","317.50","163.22K","0.44%"
"12/01/2024","317.80","318.50","319.20","316.70","128.83K","-0.59%"
"11/28/2024","319.70","322.90","322.90","318.70","186.19K","-0.44%"
"11/27/2024","321.10","320.00","324.50","316.10","413.98K","0.72%"
"11/26/2024","318.80","315.30","320.10","315.30","107.28K","1.14%"
"11/25/2024","315.20","317.00","318.80","314.10","97.67K","-0.82%"
"11/24/2024","317.80","316.10","319.00","316.00","75.53K","-0.13%"
"11/21/2024","318.20","322.90","322.90","317.10","94.21K","-1.46%"
"11/20/2024","322.90","321.20","324.60","317.00","229.40K","0.78%"
"11/19/2024","320.40","318.80","324.80","313.00","285.52K","0.50%"
"11/18/2024","318.80","320.50","323.00","317.30","130.03K","-0.59%"
"11/17/2024","320.70","327.00","327.80","320.10","254.04K","-1.63%"
"11/14/2024","326.00","326.50","330.10","323.20","251.26K","0.15%"
"11/13/2024","325.50","329.30","329.30","324.20","149.81K","-1.00%"
"11/12/2024","328.80","325.70","333.00","324.00","436.59K","0.98%"
"11/11/2024","325.60","319.00","327.40","318.80","350.21K","2.29%"
"11/10/2024","318.30","324.00","324.00","317.00","154.40K","-0.87%"
"11/07/2024","321.10","320.00","325.00","313.00","433.22K","1.71%"
"11/06/2024","315.70","316.10","318.70","311.50","427.10K","-0.13%"
"11/05/2024","316.10","316.60","319.50","312.60","324.12K","0.41%"
"11/04/2024","314.80","310.00","316.80","308.20","208.72K","1.42%"
"11/03/2024","310.40","315.00","316.90","310.00","178.07K","-1.21%"
"10/31/2024","314.20","319.00","319.00","312.50","274.25K","-1.04%"
"10/30/2024","317.50","314.80","319.90","312.50","254.40K","2.02%"
"10/29/2024","311.20","305.00","313.60","301.60","300.43K","2.17%"
